"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p0742",678.494294062145,-1.45083548505878,0.152848936486283,-9.49195668881207,2.26737583739698e-21,1.13295175771232e-20
"p0745",3653.27477062471,-1.10627524998068,0.0882495746366669,-12.5357573057473,4.75794517898952e-36,3.53742880698786e-35
"p0750",920.37377733578,-2.7659371083407,0.146650125562631,-18.8607892269376,2.39616394210261e-79,3.51209172085325e-78
"p0755",194.20911737714,-1.11663153948878,0.257292299104084,-4.33993377717483,1.42525660930832e-05,3.31339867330136e-05
"p0757",584.332783931563,1.08509161478902,0.143290138373814,7.57268872166376,3.65577561289347e-14,1.43893572077827e-13
"p0758",485.394117708864,1.80684670602904,0.165157989134183,10.940110832671,7.41092559086025e-28,4.38669787858997e-27
"p0759",334.118455801902,1.42503779150342,0.185023176563654,7.7019420916339,1.34013621031181e-14,5.37101465539032e-14
"p0765",191.263956974623,1.63054469436207,0.235052477465552,6.936938984619,4.00686777922111e-12,1.40789258269892e-11
"p0766",296.28334508397,2.16850109691507,0.192690136579868,11.2538251070067,2.21761598969419e-29,1.37617379360458e-28
"p0767",1322.07047398887,3.15582903304856,0.123345046369959,25.5853731132665,2.2194528622601e-144,7.42551729351803e-143
"p0768",624.841139674274,-1.34565906960241,0.151959043167009,-8.85540630920845,8.3379528916745e-19,3.87677024177857e-18
"p0773",751.974511987118,1.31588257115621,0.13185436175692,9.97981829059325,1.8680857200508e-23,9.84583535328142e-23
"p0777",475.973022813148,1.42404817233778,0.154307269808956,9.22865250678637,2.74057739897767e-20,1.33473057500843e-19
"p0778",1008.02997086622,-1.29603656062329,0.121503081999903,-10.6666970029971,1.4571439900589e-26,8.33659702862696e-26
"p0783",306.976558535183,-1.76346405963844,0.209796566760568,-8.4055906484447,4.25713586363994e-17,1.88268163624766e-16
"p0785",279.58725285479,-1.61380449106275,0.215271199564046,-7.49661122496147,6.54888483626962e-14,2.53872386977807e-13
"p0792",332.358349641471,-1.27777826916841,0.193051238837362,-6.61885557877659,3.61990284445091e-11,1.19550010249141e-10
"p0794",270.201455454919,-1.66937301107537,0.219377096787587,-7.60960481071434,2.74935277671567e-14,1.09052936169212e-13
"p0799",265.2611050387,2.17055348496243,0.224501215121452,9.66833735749801,4.11000778892127e-22,2.0875584116006e-21
"p0800",573.369365824881,-1.27853087032084,0.155931903083023,-8.1992898505196,2.41811242157188e-16,1.03951816111707e-15
"p0804",629.380529743926,2.31381873436597,0.142217134093545,16.2696200363877,1.62160870001609e-59,1.78261127808911e-58
"p0805",585.336199067046,2.3978292211027,0.153210299515746,15.6505745937548,3.29233422024609e-55,3.29019634088229e-54
"p0806",172.750790986545,1.19281567276238,0.26362053961063,4.52474482650018,6.04684180209642e-06,1.45407648959787e-05
"p0809",159.22548666717,1.09066501652489,0.266098360014544,4.09872881766456,4.15425418532338e-05,9.17273628581445e-05
"p0810",3148.93642864267,2.5940640084493,0.0901628705135336,28.7708675830139,4.96650836630319e-182,2.01143588835279e-180
"p0814",493.415075750964,1.143351178943,0.164839160553277,6.93616234822708,4.02894575126267e-12,1.41242540118297e-11
