"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"p1390",222.604155848209,-0.323553372189035,0.223398999841837,-1.44832059417502,0.147527410686069,0.192085181933892
"p1391",398.309250947637,0.335075208412685,0.182140206100412,1.83965537091773,0.0658188496076039,0.0925865041239625
"p1392",384.210921913536,-0.662837443908073,0.177605286831288,-3.73208171746442,0.000189903870484257,0.000391247733166362
"p1393",162.372152559864,-0.479504198048435,0.258262034372922,-1.85665771282529,0.0633598673799403,0.0893774847825189
"p1394",687.428173611197,-1.09432770713461,0.139379174651815,-7.85144344460617,4.11275965489846e-15,1.68787656237033e-14
"p1395",357.808726583515,1.93938780449863,0.176555636739452,10.9845703049439,4.5339097870848e-28,2.70452990787733e-27
"p1396",11516.6274272575,-0.60682894643669,0.072650261415853,-8.35274277904076,6.66957890733751e-17,2.90778525166924e-16
"p1397",165.214262961259,0.376057862802502,0.252721790561168,1.48803101611249,0.136742714219236,0.179869262549918
"p1398",176.901317759636,1.17167880654086,0.26518376538726,4.41836552411044,9.94501270566823e-06,2.35105599908194e-05
"p1399",775.779334683564,1.76358240231862,0.152238698575638,11.5843239519182,4.94855312212412e-31,3.2407758531698e-30
"p1400",172.445429387676,0.652123581207909,0.24879313911124,2.62114776772977,0.00876342682284663,0.014166926344917
"p1401",129.170323937434,-0.358279036051315,0.290531679689641,-1.23318405908108,0.217507101378529,0.271486965954222
"p1402",136.640575482685,-0.274821256687109,0.27685502785577,-0.992654021187869,0.320878588940386,0.385204483915175
"p1403",308.161775752675,-1.36061489161772,0.202243874636595,-6.72759505850333,1.72490148459482e-11,5.80880390545169e-11
"p1404",129.456413071876,-0.123985544981697,0.285438017110836,-0.434369416648357,0.664020202797395,0.71513442414639
"p1405",201.073533857258,-0.465865926590386,0.23196291186902,-2.00836384936158,0.0446046414952596,0.0646998522725773
"p1406",324.327839372271,1.10398804626113,0.18718691168498,5.89778439274135,3.68414933748477e-09,1.11832462137851e-08
"p1407",376.000140384271,2.50438491943284,0.183188281321169,13.6710978528267,1.51098175279034e-42,1.27071088390401e-41
